id;original_name;new_name
NSR:StopPlace:392;Alvdal;Alvdal stasjon
NSR:StopPlace:500;Bellingmo;Bellingmo stasjon
NSR:StopPlace:35;Rise;Rise stasjon
NSR:StopPlace:380;Arendal;Arendal stasjon
NSR:StopPlace:608;Bråstad;Bråstad stasjon
NSR:StopPlace:676;Stoa;Stoa stasjon
NSR:StopPlace:126;Heggedal;Heggedal stasjon
NSR:StopPlace:289;Gullhella;Gullhella stasjon
NSR:StopPlace:295;Hvalstad;Hvalstad stasjon
NSR:StopPlace:319;Høn;Høn stasjon
NSR:StopPlace:368;Vakås;Vakås stasjon
NSR:StopPlace:418;Asker;Asker stasjon
NSR:StopPlace:523;Bondivann;Bondivann stasjon
NSR:StopPlace:577;Billingstad;Billingstad stasjon
NSR:StopPlace:412;Askim;Askim stasjon
NSR:StopPlace:434;Audnedal;Audnedal stasjon
NSR:StopPlace:222;Myrdal;Myrdal stasjon
NSR:StopPlace:231;Flåm;Flåm stasjon
NSR:StopPlace:326;Håreina;Håreina stasjon
NSR:StopPlace:349;Upsete;Upsete stasjon
NSR:StopPlace:448;Vatnahalsen;Vatnahalsen stasjon
NSR:StopPlace:45;Reinunga;Reinunga stasjon
NSR:StopPlace:457;Berekvam;Berekvam stasjon
NSR:StopPlace:466;Lunden;Lunden stasjon
NSR:StopPlace:484;Blomheller;Blomheller stasjon
NSR:StopPlace:535;Kjosfossen;Kjosfossen stasjon
NSR:StopPlace:398;Arna;Arna stasjon
NSR:StopPlace:548;Bergen;Bergen stasjon
NSR:StopPlace:677;Trengereid;Trengereid stasjon
NSR:StopPlace:234;Mørkved;Mørkved stasjon
NSR:StopPlace:507;Bodø;Bodø stasjon
NSR:StopPlace:575;Tverlandet;Tverlandet stasjon
NSR:StopPlace:58415;Oteråga;Oteråga stasjon
NSR:StopPlace:157;Lysaker;Lysaker stasjon
NSR:StopPlace:303;Høvik;Høvik stasjon
NSR:StopPlace:493;Blommenholm;Blommenholm stasjon
NSR:StopPlace:57940;Smutterud;Smutterud stasjon
NSR:StopPlace:57941;Bjørkåsen;Bjørkåsen stasjon
NSR:StopPlace:57942;Gundershogget;Gundershogget stasjon
NSR:StopPlace:610;Sandvika;Sandvika stasjon
NSR:StopPlace:648;Slependen;Slependen stasjon
NSR:StopPlace:706;Stabekk;Stabekk stasjon
NSR:StopPlace:590;Bø;Bø stasjon
NSR:StopPlace:175;Hjerkinn;Hjerkinn stasjon
NSR:StopPlace:645;Dombås;Dombås stasjon
NSR:StopPlace:652;Dovre;Dovre stasjon
NSR:StopPlace:11;Drammen;Drammen stasjon
NSR:StopPlace:18;Gulskogen;Gulskogen stasjon
NSR:StopPlace:536;Brakerøya;Brakerøya stasjon
NSR:StopPlace:1;Drangedal;Drangedal stasjon
NSR:StopPlace:297;Neslandsvatn;Neslandsvatn stasjon
NSR:StopPlace:133;Heia;Heia stasjon
NSR:StopPlace:226;Mysen;Mysen stasjon
NSR:StopPlace:63;Eidsberg;Eidsberg stasjon
NSR:StopPlace:654;Slitu;Slitu stasjon
NSR:StopPlace:159;Eidsvoll;Eidsvoll stasjon
NSR:StopPlace:166;Eidsvoll Verk;Eidsvoll Verk stasjon
NSR:StopPlace:621;Dal;Dal stasjon
NSR:StopPlace:149;Hellvik;Hellvik stasjon
