ID;NSR-ID
3012050;NSR:StopPlace:385
4381072;NSR:StopPlace:392
9061460;NSR:StopPlace:380
12013420;NSR:StopPlace:398
2200500;NSR:StopPlace:418
1240700;NSR:StopPlace:412
4301435;NSR:StopPlace:427
10271800;NSR:StopPlace:434
2360000;NSR:StopPlace:441
4371030;NSR:StopPlace:447
4381411;NSR:StopPlace:500
12013510;NSR:StopPlace:548
17213072;NSR:StopPlace:453
16351100;NSR:StopPlace:602
2200100;NSR:StopPlace:577
18323610;NSR:StopPlace:460
5128050;NSR:StopPlace:467
2260200;NSR:StopPlace:487
9191410;NSR:StopPlace:472
5349221;NSR:StopPlace:478
2190300;NSR:StopPlace:493
2360710;NSR:StopPlace:512
18043880;NSR:StopPlace:507
12353340;NSR:StopPlace:518
2200600;NSR:StopPlace:523
6029020;NSR:StopPlace:536
10211760;NSR:StopPlace:555
4127160;NSR:StopPlace:542
11192180;NSR:StopPlace:561
3011460;NSR:StopPlace:529
11212230;NSR:StopPlace:568
9061440;NSR:StopPlace:608
12353310;NSR:StopPlace:584
8219170;NSR:StopPlace:590
9191390;NSR:StopPlace:597
2370600;NSR:StopPlace:621
12513350;NSR:StopPlace:639
6246280;NSR:StopPlace:628
5110230;NSR:StopPlace:645
5110104;NSR:StopPlace:652
6021000;NSR:StopPlace:11
8179100;NSR:StopPlace:1
18243570;NSR:StopPlace:44
18333700;NSR:StopPlace:25
11012120;NSR:StopPlace:82
1255370;NSR:StopPlace:63
2370300;NSR:StopPlace:159
2370430;NSR:StopPlace:166
7095210;NSR:StopPlace:92
5299502;NSR:StopPlace:105
4279001;NSR:StopPlace:117
12353330;NSR:StopPlace:151
4301487;NSR:StopPlace:143
18413850;NSR:StopPlace:176
2270100;NSR:StopPlace:186
12333220;NSR:StopPlace:200
2300200;NSR:StopPlace:208
9291362;NSR:StopPlace:216
6153070;NSR:StopPlace:223
1065220;NSR:StopPlace:239
2260060;NSR:StopPlace:255
9191400;NSR:StopPlace:247
11022250;NSR:StopPlace:261
6203190;NSR:StopPlace:318
12353292;NSR:StopPlace:311
9111070;NSR:StopPlace:296
5029403;NSR:StopPlace:302
16400080;NSR:StopPlace:331
6173150;NSR:StopPlace:324
5349503;NSR:StopPlace:338
3012110;NSR:StopPlace:343
2170300;NSR:StopPlace:6
17423250;NSR:StopPlace:351
3011970;NSR:StopPlace:359
5339208;NSR:StopPlace:365
17112130;NSR:StopPlace:3
2200700;NSR:StopPlace:289
6029143;NSR:StopPlace:18
10041840;NSR:StopPlace:29
2360100;NSR:StopPlace:51
2330170;NSR:StopPlace:61
1015460;NSR:StopPlace:192
12333230;NSR:StopPlace:71
16440140;NSR:StopPlace:116
4039100;NSR:StopPlace:219
2300230;NSR:StopPlace:41
4321662;NSR:StopPlace:81
5336100;NSR:StopPlace:280
17423350;NSR:StopPlace:90
2350030;NSR:StopPlace:268
6203210;NSR:StopPlace:99
3011750;NSR:StopPlace:167
3010910;NSR:StopPlace:287
2200800;NSR:StopPlace:126
17142100;NSR:StopPlace:253
1285380;NSR:StopPlace:133
16011220;NSR:StopPlace:210
17142080;NSR:StopPlace:141
11012140;NSR:StopPlace:149
5110217;NSR:StopPlace:175
6246600;NSR:StopPlace:245
7025050;NSR:StopPlace:259
3010920;NSR:StopPlace:202
16632070;NSR:StopPlace:229
16531150;NSR:StopPlace:237
5017285;NSR:StopPlace:274
2200200;NSR:StopPlace:295
2200400;NSR:StopPlace:319
6050910;NSR:StopPlace:158
2190200;NSR:StopPlace:303
3011660;NSR:StopPlace:313
4177336;NSR:StopPlace:329
5349414;NSR:StopPlace:336
2350200;NSR:StopPlace:344
17363200;NSR:StopPlace:357
1040200;NSR:StopPlace:513
3012160;NSR:StopPlace:530
7095200;NSR:StopPlace:538
11207240;NSR:StopPlace:543
2350005;NSR:StopPlace:553
12353282;NSR:StopPlace:549
1380120;NSR:StopPlace:560
2170100;NSR:StopPlace:572
6049104;NSR:StopPlace:519
4020080;NSR:StopPlace:635
16341030;NSR:StopPlace:641
4301475;NSR:StopPlace:580
17112150;NSR:StopPlace:592
16480190;NSR:StopPlace:586
10011300;NSR:StopPlace:609
2130400;NSR:StopPlace:617
5169408;NSR:StopPlace:629
