RUTQuay;MetroQuay
RUT:Quay:301193001;RUT:Quay:AMM1
RUT:Quay:301193002;RUT:Quay:AMM2
RUT:Quay:219028001;RUT:Quay:AVL1
RUT:Quay:219028002;RUT:Quay:AVL2
RUT:Quay:219015001;RUT:Quay:BEK1
RUT:Quay:219015002;RUT:Quay:BEK2
RUT:Quay:301222001;RUT:Quay:BER1
RUT:Quay:301222002;RUT:Quay:BER2
RUT:Quay:301236501;RUT:Quay:BES1
RUT:Quay:301236502;RUT:Quay:BES2
RUT:Quay:301103001;RUT:Quay:BKR1
RUT:Quay:301103002;RUT:Quay:BKR2
RUT:Quay:301259001;RUT:Quay:BJØ1
RUT:Quay:301259002;RUT:Quay:BJØ2
RUT:Quay:301036001;RUT:Quay:BLI1
RUT:Quay:301036002;RUT:Quay:BLI2
RUT:Quay:301113001;RUT:Quay:BOG1
RUT:Quay:301113002;RUT:Quay:BOG2
RUT:Quay:301256001;RUT:Quay:BOR1
RUT:Quay:301256002;RUT:Quay:BOR2
RUT:Quay:301078001;RUT:Quay:BRA1
RUT:Quay:301078002;RUT:Quay:BRA2
RUT:Quay:301145001;RUT:Quay:BRY1
RUT:Quay:301145002;RUT:Quay:BRY2
RUT:Quay:301145003;RUT:Quay:BRY3
RUT:Quay:301145004;RUT:Quay:BRY4
RUT:Quay:301112001;RUT:Quay:BØL1
RUT:Quay:301112002;RUT:Quay:BØL2
RUT:Quay:301140001;RUT:Quay:CBP1
RUT:Quay:301140002;RUT:Quay:CBP2
RUT:Quay:219007001;RUT:Quay:EIK1
RUT:Quay:219007002;RUT:Quay:EIK2
RUT:Quay:301246001;RUT:Quay:EKR1
RUT:Quay:301246002;RUT:Quay:EKR2
RUT:Quay:301163001;RUT:Quay:ELÅ1
RUT:Quay:301163002;RUT:Quay:ELÅ2
RUT:Quay:301143001;RUT:Quay:ENS1
RUT:Quay:301143002;RUT:Quay:ENS2
RUT:Quay:301037001;RUT:Quay:FOR1
RUT:Quay:301037002;RUT:Quay:FOR2
RUT:Quay:301263001;RUT:Quay:FRS1
RUT:Quay:301263002;RUT:Quay:FRS2
RUT:Quay:301230501;RUT:Quay:FRØ1
RUT:Quay:301230502;RUT:Quay:FRØ2
RUT:Quay:301162001;RUT:Quay:FUR1
RUT:Quay:301162002;RUT:Quay:FUR2
RUT:Quay:301232001;RUT:Quay:GAU1
RUT:Quay:301232002;RUT:Quay:GAU2
RUT:Quay:219036001;RUT:Quay:GJE1
RUT:Quay:219036002;RUT:Quay:GJE2
RUT:Quay:219018001;RUT:Quay:GJØ1
RUT:Quay:219018002;RUT:Quay:GJØ2
RUT:Quay:301131001;RUT:Quay:GOD1
RUT:Quay:301131002;RUT:Quay:GOD2
RUT:Quay:301234001;RUT:Quay:GRÅ1
RUT:Quay:301234002;RUT:Quay:GRÅ2
RUT:Quay:301194001;RUT:Quay:GRO1
RUT:Quay:301194002;RUT:Quay:GRO2
RUT:Quay:301061001;RUT:Quay:GRØ1
RUT:Quay:301061002;RUT:Quay:GRØ2
RUT:Quay:301234502;RUT:Quay:GUL2
RUT:Quay:219022001;RUT:Quay:HAL1
RUT:Quay:219022002;RUT:Quay:HAL2
RUT:Quay:301141001;RUT:Quay:HAS1
RUT:Quay:301141002;RUT:Quay:HAS2
RUT:Quay:219044001;RUT:Quay:HAE1
RUT:Quay:219044002;RUT:Quay:HAE2
RUT:Quay:301153001;RUT:Quay:HAU1
RUT:Quay:301153002;RUT:Quay:HAU2
RUT:Quay:301151001;RUT:Quay:HEL1
RUT:Quay:301151002;RUT:Quay:HEL2
RUT:Quay:301144001;RUT:Quay:HFY1
RUT:Quay:301144002;RUT:Quay:HFY2
RUT:Quay:301237001;RUT:Quay:HOK1
RUT:Quay:301237002;RUT:Quay:HOK2
RUT:Quay:301226001;RUT:Quay:HLS1
RUT:Quay:301226002;RUT:Quay:HLS2
RUT:Quay:301242001;RUT:Quay:HOL1
RUT:Quay:301242002;RUT:Quay:HOL2
RUT:Quay:301243001;RUT:Quay:HOV1
RUT:Quay:301243002;RUT:Quay:HOV2
RUT:Quay:301257201;RUT:Quay:HUB1
RUT:Quay:301257202;RUT:Quay:HUB2
RUT:Quay:301122001;RUT:Quay:HØY1
RUT:Quay:301122002;RUT:Quay:HØY2
RUT:Quay:219005001;RUT:Quay:JAR1
RUT:Quay:219005002;RUT:Quay:JAR2
RUT:Quay:301001101;RUT:Quay:JER1
RUT:Quay:301001102;RUT:Quay:JER2
RUT:Quay:301192001;RUT:Quay:KAL1
RUT:Quay:301192002;RUT:Quay:KAL2
RUT:Quay:301077001;RUT:Quay:KAR1
RUT:Quay:301077002;RUT:Quay:KAR2
RUT:Quay:219045001;RUT:Quay:KOL1
RUT:Quay:219045002;RUT:Quay:KOL2
RUT:Quay:301227001;RUT:Quay:KRI1
RUT:Quay:301227002;RUT:Quay:KRI2
RUT:Quay:301101001;RUT:Quay:LAM1
RUT:Quay:301101002;RUT:Quay:LAM2
RUT:Quay:301161001;RUT:Quay:LIB1
RUT:Quay:301161002;RUT:Quay:LIB2
RUT:Quay:219008001;RUT:Quay:LIJ1
RUT:Quay:219008002;RUT:Quay:LIJ2
RUT:Quay:301203001;RUT:Quay:LIN1
RUT:Quay:301203002;RUT:Quay:LIN2
RUT:Quay:301238501;RUT:Quay:LIV1
RUT:Quay:301238502;RUT:Quay:LIV2
RUT:Quay:301149001;RUT:Quay:LØR1
RUT:Quay:301149002;RUT:Quay:LØR2
RUT:Quay:301241001;RUT:Quay:MAK1
RUT:Quay:301241002;RUT:Quay:MAK2
RUT:Quay:301121001;RUT:Quay:MAN1
RUT:Quay:301121002;RUT:Quay:MAN2
RUT:Quay:301020001;RUT:Quay:MAJ1
RUT:Quay:301020002;RUT:Quay:MAJ2
RUT:Quay:301020004;RUT:Quay:MAJ4
RUT:Quay:30102000A;RUT:Quay:MAJA
RUT:Quay:301257501;RUT:Quay:MON1
RUT:Quay:301257502;RUT:Quay:MON2
RUT:Quay:301095001;RUT:Quay:MOR1
RUT:Quay:301095002;RUT:Quay:MOR2
RUT:Quay:301236001;RUT:Quay:MID1
RUT:Quay:301236002;RUT:Quay:MID2
RUT:Quay:301102001;RUT:Quay:MUN1
RUT:Quay:301102002;RUT:Quay:MUN2
